action step time goats tigers
[predate] 533 0.4944978205552276 351 559
[predate] 534 0.4950476816221842 350 560
[grow] 535 0.496962552841593 351 560
[die] 536 0.4983824850768115 351 559
[predate] 537 0.49873098433101126 350 560
[predate] 538 0.5009553385600369 349 561
[die] 539 0.503940788085652 349 560
[die] 540 0.5050971050366614 349 559
[predate] 541 0.505251270026829 348 560
[predate] 542 0.5065427683004329 347 561
[grow] 543 0.5093364231784653 348 561
[grow] 544 0.5128318291146667 349 561
[predate] 545 0.5151978737244428 348 562
[predate] 546 0.5153134249104839 347 563
[predate] 547 0.516258775775399 346 564
[predate] 548 0.5192070040250077 345 565
[die] 549 0.5194309430834626 345 564
[grow] 550 0.520330277218389 346 564
[predate] 551 0.5227227384255609 345 565
[die] 552 0.5229939490295548 345 564
[die] 553 0.5231675653351546 345 563
[predate] 554 0.5241743892074742 344 564
[grow] 555 0.5243137736302238 345 564
[predate] 556 0.525155226669715 344 565
[die] 557 0.5262547533608593 344 564
[die] 558 0.528527222610135 344 563
[predate] 559 0.530363342148619 343 564
[predate] 560 0.530839469215722 342 565
[die] 561 0.5319493684069274 342 564
[die] 562 0.5320548968257487 342 563
[predate] 563 0.5357706057914734 341 564
[die] 564 0.5395154621154182 341 563
[die] 565 0.5399038731018613 341 562
[die] 566 0.5399501710259156 341 561
[predate] 567 0.5403226049212473 340 562
[predate] 568 0.5421158157630258 339 563
[die] 569 0.5424365938555448 339 562
[predate] 570 0.5428107625717 338 563
[grow] 571 0.5430970842254692 339 563
[grow] 572 0.5445820813102153 340 563
[predate] 573 0.5462811447879896 339 564
[die] 574 0.5486324940919117 339 563
[grow] 575 0.5495521617225164 340 563
[predate] 576 0.5528180314159928 339 564
[die] 577 0.5535898392196018 339 563
[die] 578 0.5548154644780475 339 562
[die] 579 0.5555371073933141 339 561
[grow] 580 0.5566456924773108 340 561
[die] 581 0.556867896878195 340 560
[predate] 582 0.5573962505024955 339 561
[predate] 583 0.5577641314014994 338 562
[predate] 584 0.557933837600425 337 563
[predate] 585 0.5586034434919245 336 564
[grow] 586 0.5603904550779689 337 564
[predate] 587 0.5604598337260276 336 565
[predate] 588 0.5620829715015464 335 566
[grow] 589 0.562210263141799 336 566
[die] 590 0.5625217029406286 336 565
[die] 591 0.5645865869853318 336 564
[predate] 592 0.5647370619538241 335 565
[predate] 593 0.5668733858542715 334 566
[predate] 594 0.5668947431109929 333 567
[predate] 595 0.568139281294153 332 568
[predate] 596 0.56831855965452 331 569
[predate] 597 0.5684329003163106 330 570
[grow] 598 0.5686214814618786 331 570
[die] 599 0.568897157513144 331 569
[die] 600 0.5700214412606097 331 568
[die] 601 0.5700834830885445 331 567
[predate] 602 0.5730200555205275 330 568
[die] 603 0.5737566488097356 330 567
[grow] 604 0.5745026105937534 331 567
[grow] 605 0.5751467864595059 332 567
[predate] 606 0.579478666226959 331 568
[die] 607 0.5800398192602764 331 567
[die] 608 0.5806120448770347 331 566
[predate] 609 0.5821010004489939 330 567
[predate] 610 0.5824235299954352 329 568
[predate] 611 0.5845898430581465 328 569
[die] 612 0.5849512337980852 328 568
[die] 613 0.5854958789271668 328 567
[predate] 614 0.5900022632661271 327 568
[die] 615 0.591295910680807 327 567
[predate] 616 0.5918030184297808 326 568
[grow] 617 0.5919595666284564 327 568
[die] 618 0.593084511535045 327 567
[die] 619 0.5939794480082184 327 566
[die] 620 0.5952711831440826 327 565
[die] 621 0.5961074125797107 327 564
[die] 622 0.5992326754407886 327 563
[predate] 623 0.5997203041601713 326 564
[die] 624 0.600760017375524 326 563
[die] 625 0.601525753781692 326 562
[grow] 626 0.6022037594180457 327 562
[grow] 627 0.6023897242074926 328 562
[predate] 628 0.6042798163669707 327 563
[die] 629 0.6070755663294669 327 562
[predate] 630 0.6089394978305886 326 563
[predate] 631 0.6097960476219163 325 564
[predate] 632 0.6102962253690887 324 565
